text,image_path,rationales
"The Wall Street Journal: Iran-Iraq earthquake kills at least 207, with de... https://t.co/h0GnYkR6H0 https://t.co/HWQn1h0BBU",data_image/iraq_iran_earthquake/13_11_2017/929991509499187200_0.jpg,
Residents recall the night they had to flee the #redwoodvalleyfire. https://t.co/rw44YA4N9j https://t.co/BEMx2XbOFB,data_image/california_wildfires/22_10_2017/922144749632479232_1.jpg,
"#Harvey may be gone but if you’re struggling, reach out. @distressline offers 24/7 support https://t.co/9vwLb2kYco https://t.co/sYbtiX7qUc",data_image/hurricane_harvey/4_9_2017/904837965440053248_0.jpg,
Latest numbers emerging from earthquake that hit #Iran &amp; #Iraq - 211 dead &amp; 2504 injured in Iran https://t.co/VELDpduSWz,data_image/iraq_iran_earthquake/13_11_2017/930058600160088065_2.jpg,
"California Fires Leave 32 Dead, a Vast Landscape Charred, and a Sky Full of Soot https://t.co/1sY1GZ0Gc3 https://t.co/34tgXfRxx6",data_image/california_wildfires/17_10_2017/920167628303491073_0.jpg,
"Over 420,000 women/children directly affected by #SriLanka #FloodSL - @WFP https://t.co/SD35cUyAx6 https://t.co/wGsZC00w0G",data_image/srilanka_floods/7_6_2017/872297618147340289_0.jpg,
Iran in Mourning After Earthquake that Killed 430 https://t.co/0zSZ87lmKR https://t.co/2SG4vfoXfP,data_image/iraq_iran_earthquake/14_11_2017/930334010248593409_0.jpg,
Thousands still without running water in Puerto Rico (Miami Herald) https://t.co/Pz8E8ggSa9,data_image/hurricane_maria/9_11_2017/928659732113567746_0.jpg,
"Ravaged by Harvey, Houston Dreamers fear deportation https://t.co/hCsfeC8qcM https://t.co/CcVcAIJWaR",data_image/hurricane_harvey/6_9_2017/905255756026363904_0.jpg,
My Kids and I Tried to Escape Hurricane Harvey — It Was Impossible #fitnessworldabs https://t.co/AQuopElKmO https://t.co/FH6NgsplWm,data_image/hurricane_harvey/9_9_2017/906476295864946689_0.jpg,
Worst floods in #SriLanka in decades: So many children need help: https://t.co/9atFO43v63 v/@unicef_es https://t.co/OWZlKjRbvw,data_image/srilanka_floods/31_5_2017/870029636750630912_0.jpg,
Some of the devastation from #Harvey friends and family who lost everything ὢ2 prayers neededὉ4 @DonnieWahlberg #BH❤ https://t.co/2rNeqYEEQJ,data_image/hurricane_harvey/7_9_2017/905930890735439873_3.jpg,
"Victims of last week's earthquake gather outdoors near a fire in Sarpol-e Zahab, #Iran (Pouria Pakizeh/EPA) https://t.co/JmYUPNkaLo",data_image/iraq_iran_earthquake/18_11_2017/932027639589507072_0.jpg,
"#Iran: Families left homeless by earthquake huddle around fires for warmth, sleep in tents https://t.co/TqYq9BEd7n https://t.co/ycbeJ0gfB4",data_image/iraq_iran_earthquake/16_11_2017/931046661274701825_2.jpg,
Over 200 killed in Iran-Iraqi earthquake https://t.co/r53O8nKXOq https://t.co/RHz9pYrG9f,data_image/iraq_iran_earthquake/13_11_2017/929992374293495808_0.jpg,
"On Monday morning, #Iran gave a provisional toll of more than 200 dead.#earthquake https://t.co/9WnnGaRju9 … … https://t.co/T5RgOamZjz",data_image/iraq_iran_earthquake/13_11_2017/930097873332658176_0.jpg,
many children lost their parents in #Iran in the past 72 hrs... very sad. #Earthquake https://t.co/i9GwqdTr0j,data_image/iraq_iran_earthquake/15_11_2017/930898405399855104_0.jpg,
"Three people, two dogs ride out Hurricane Harvey in 'pod' at Holiday Beach https://t.co/xWwQmRmN7R https://t.co/PwR49NAVzj",data_image/hurricane_harvey/10_9_2017/907000891110080513_0.jpg,
"Girl students' dormitory ruined after terrible earthquake, west of Iran. https://t.co/VjKcsJi4Ij",data_image/iraq_iran_earthquake/13_11_2017/930122324510105600_0.jpg,
#Kurdish children's situation after the #earthquake In #Iran No tent. No house. https://t.co/ymFgSVTXRi,data_image/iraq_iran_earthquake/18_11_2017/931925410224529410_0.jpg,
Puerto Rico confronts mental health crisis in hurricane's aftermath https://t.co/59U4zwfmKm https://t.co/LCOMWj2HX8,data_image/hurricane_maria/5_10_2017/916078290502410241_0.jpg,
RT @CBCNews: Dozens killed after 7.2 earthquake rocks Iran-Iraq border https://t.co/dClN9vTUZk https://t.co/u6vfSFYjVx,data_image/iraq_iran_earthquake/13_11_2017/930101240339542016_0.jpg,
RT @USRealityCheck: Homeowners cry as they return after fire https://t.co/kQIuhBCMQn #USNews #USRC https://t.co/A9ozlh2Mx1,data_image/california_wildfires/15_10_2017/919641467206774784_0.jpg,
Thinking of the ἞E἟7 Iran's and ἞E἟6 Iraq's victims of the earthquake .... https://t.co/p0460HFtep,data_image/iraq_iran_earthquake/14_11_2017/930262966460485632_0.jpg,
RT @Rique_210: We Survived Once We Can Survive Again #HurricaneHarvey https://t.co/280Qb9DhRj,data_image/hurricane_harvey/27_8_2017/901646202567053312_0.jpg,
"Hurricane Maria's devastation left children and families homeless, helpless, hopeless. #Helpchangeachildsworld https://t.co/W36RThz9kO",data_image/hurricane_maria/25_10_2017/923149294017875968_0.jpg,
"Henry Cejudo suffers burns, loses gold medal in California wildfire â€” https://t.co/GkuLc60ZWl https://t.co/0gRZgSK4LU",data_image/california_wildfires/10_10_2017/917794024173563904_0.jpg,
"For the third time, one undocumented Houston family fled a hurricane https://t.co/t9Unxx84wB #Harvey https://t.co/pUU5muHvHP",data_image/hurricane_harvey/3_9_2017/904464817242636290_0.jpg,
Mexico earthquake: Church crumbles during childâ€™s baptism leaving 11 family members deadâ€¦ https://t.co/PSFZtDXXkn https://t.co/oGcdp7tuhz,data_image/mexico_earthquake/21_9_2017/910741243860267008_0.jpg,
RT @frankiemacd: Here is a picture edit of me with a umbrella upside down during hurricane Harvey. https://t.co/i2nvc6gMjh,data_image/hurricane_harvey/27_8_2017/901809493671124992_0.jpg,
Responding to Iran's earthquake: At least 407 died and 6700 others were injured https://t.co/QG34G20QhU https://t.co/jKefnG8yzu,data_image/iraq_iran_earthquake/15_11_2017/930875630832545792_0.jpg,
"For many of the survivors of Mexico's earthquake, the difficulties are only just beginning https://t.co/5yePjjlMdF https://t.co/06MxpnqZqh",data_image/mexico_earthquake/28_9_2017/913419277830520833_0.jpg,
RT @NBCNews: Another Mexico earthquake sends people panicking into streets https://t.co/sHbpiWnK0O https://t.co/RadDf8uZ84,data_image/mexico_earthquake/23_9_2017/911621942536474624_0.jpg,
"After Hurricane, Puerto Rico Face Possible Disease Epidemic https://t.co/hSrXYyLJP9 https://t.co/8kVc4fvHVn",data_image/hurricane_maria/26_10_2017/923515947251523584_0.jpg,
Iran-Iraq temblor: 'This earthquake was a sudden wave of death' https://t.co/OTQ2973qEF https://t.co/FBKP3gAzWP,data_image/iraq_iran_earthquake/13_11_2017/930127736898752513_0.jpg,
"HARVEY SURVIVORS: Out of the spotlight, struggling to recover https://t.co/LxKitMzvgR https://t.co/w0weamU5XU",data_image/hurricane_harvey/13_9_2017/908001617005314048_0.jpg,
Pics from Iran 204 person killed &amp; 1600 injured by #earthquake yesterday #زلزال_إيران https://t.co/gOAvZmB8fw,data_image/iraq_iran_earthquake/13_11_2017/930022107278381057_2.jpg,
Ctg people suffer for Mora fallout https://t.co/yMefgRzmNZ https://t.co/36ZcMd3U5k,data_image/srilanka_floods/1_6_2017/870168489759199233_0.jpg,
Mexico earthquake: Family mourns 11 dead after church falls at baptism https://t.co/V7RhlHr8NU https://t.co/kWGi8UCToO,data_image/mexico_earthquake/21_9_2017/910678493419200514_0.jpg,
Waiting in long lines at Carroll academy Watts Harvey Relief. @WilsonAISD @BakerDana2424 @abc13houston https://t.co/NsVrXMbVEQ,data_image/hurricane_harvey/3_9_2017/904405775141019649_1.jpg,
"Iran’s deadly earthquake toll rises to 600 killed, 9388 injured in #KERMANSHAH &amp; #SERPOLRZEHAB KURDISTAN. https://t.co/jhIPylVfWB",data_image/iraq_iran_earthquake/15_11_2017/930725990371905536_0.jpg,
"#Iran: Families left homeless by earthquake huddle around fires for warmth, sleep in tents https://t.co/TqYq9BEd7n https://t.co/ycbeJ0gfB4",data_image/iraq_iran_earthquake/16_11_2017/931046661274701825_1.jpg,
#ART Dry Tortugas National Park Artists returning to Park after being displaced by Hurricane IRMA. Please donate:… https://t.co/ppq5gOkdo6,data_image/hurricane_irma/19_9_2017/910063271058608128_0.jpg,
"RT @RT_com: Iran-Iraq border earthquake latest: - At least 211 killed - Over 2,500 injured https://t.co/w0n8LBQsE6 https://t.co/n4SlLDYuzs",data_image/iraq_iran_earthquake/13_11_2017/929989514562625538_0.jpg,
Survivors Grapple With Ongoing Trauma After Harvey https://t.co/111g4AlzfS https://t.co/hC95zgF4f1,data_image/hurricane_harvey/4_9_2017/904779617440940032_0.jpg,
Baby Born as a Giant Tornado Bears Down onÂ Hospital https://t.co/J5Mx01R74L https://t.co/0zy1CMq1Pf,data_image/hurricane_harvey/18_9_2017/909698230836850688_0.jpg,
A few aquatic survivors of California's wildfires provide some solace for one homeowner. https://t.co/d7sm4C4iLV,data_image/california_wildfires/11_10_2017/918059058074210304_0.jpg,
Families try to escape rising water https://t.co/rFPCOnTtzw via @NEWS__KING | Ὠ0 by https://t.co/7IH3Z4nGeP https://t.co/pi3GUCOJKP,data_image/hurricane_harvey/27_8_2017/901783820453777412_0.jpg,
No Sanctuary in Fire-Stricken Californiaâ€™s Immigrant Communities https://t.co/l6hrCxWzP3 https://t.co/ntB9FyICCy,data_image/california_wildfires/18_10_2017/920746714637721600_0.jpg,
#Earthquake Kurdistan - Updated toll: 410 people killed and 7000+ injured :( :( - https://t.co/nX21SoJL3z https://t.co/MZ3JS8VzZQ,data_image/iraq_iran_earthquake/13_11_2017/930070681080999936_0.jpg,
#PuertoRico #utuado #utuadopuertorico No contact with my family since hurricane Maria. ὡEὤFἿD἟5἟7 https://t.co/tua2APTAoG,data_image/hurricane_maria/24_9_2017/911795195368415232_0.jpg,
"Finally, after death toll shoots up to 300, Iran-Iraq earthquake gets some media attention. https://t.co/tnZiXnODaB https://t.co/LZSouYmdEl",data_image/iraq_iran_earthquake/13_11_2017/930014337552367617_0.jpg,
Earthquake Victims in Iran. Any help goes a long way... https://t.co/RXUVRX9daV,data_image/iraq_iran_earthquake/14_11_2017/930466587576020993_0.jpg,
California wildfire hero dodged debris with disabledÂ roommate https://t.co/9rFTxP3oXv https://t.co/3NJmwfhc2o,data_image/california_wildfires/17_10_2017/920352459297558529_0.jpg,
RT @abc13houston: AT 6: HEB employee waded through chest-deep water to reach work during Harvey https://t.co/78QBDCmvDs,data_image/hurricane_harvey/8_9_2017/906293811541925894_0.jpg,
Canadian tourists trapped in Hurricane Irma's wake scramble to get out or hunker down https://t.co/d42mQReXeE https://t.co/FQcXMbDSGG,data_image/hurricane_irma/7_9_2017/905749776687390721_0.jpg,
